"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29646,"Contactor 3TB44 Contactor 2NO 2NC Reemplazo 3TB4422 110/120V  Bobina 115 Voltios","2024-10-08",False,"CNT3TB44","SIEMENS","Pieza"
25222,"Adaptador tipo rf clase 300 de 4","2023-08-11",False,"GPT-TMA-4-600-RTJ-01",NULL,"Pieza"
25223,"Adaptador tipo rf clase 300 de 4","2023-08-11",False,"GPT-ATM-1200-8-600-RTJ-01",NULL,"Pieza"
29894,"Bolsas Negras con Cierre - 5 x 8"" Grosor 2 Mil, 13 x 20 cm","2024-12-12",False,"TLM007","ULINE","Caja"
29895,"Bolsas Negras con Cierre - 8 x 10"" Grosor 2 Mil, 20 x 25 cm","2024-12-12",False,"TLM007","ULINE","Caja"
28826,"Esmeriladora de  7”, mod: gws 20-180   ","2024-03-13",False,"THR029","BOSCH","Pieza"
29647,"Solera de acero 1018 1.00'' x 4.00''","2024-10-09",False,"SLR1X4-1018","S/M","Pieza"
29648,"Solera de acero 1018 0.250'' x 3.00''","2024-10-09",False,"SLR.250X3-1018","S/M","Pieza"
29649,"Barra redonda de teflon de 1"" de diametro ","2024-10-09",False,"BRED1""-TEFLN","S/M","Pieza"
29650,"Barra sólida 4140 -T  de 7/8""","2024-10-09",False,"BSOL7/8-4140","S/M","Pieza"
29651,"Resorte en acero templado al aceite  diam. ext..915"" x int. .735"" alambre 0.090"" long. 1.588","2024-10-09",False,"RSTMPL.915X.735","S/M","Pieza"
29652,"Balin acero 7/8"" de diámetro","2024-10-09",False,"BLN7/8AC","S/M","Pieza"
26695,"O'ring FKM75 AS568A-441 de 7.00 x 7.500 x 0.275","2023-08-11",False,"GCN032","S/M","Pieza"
29948,"Relleno de tanque de 20 Kg de gas LP","2025-01-21",False,"TGS001","S/M","Ltrs"
25224,"Adaptador tipo rf clase 300 de 4","2023-08-11",False,"GPT-ATM-10-900-RTJ-1",NULL,"Pieza"
25796,"Catarina 40b21","2023-08-11",False,"GPT-CS-10-01",NULL,"Pieza"
26880,"Sello automatico autoentitable tamaño 56mm x 33mm","2023-08-11",False,"SLLOAUTON","S/M","Pieza"
26709,"O'ring NBR90 AS568A-337 de 3.00 x 3.375 x 0.210","2023-08-11",False,"GCN032",NULL,"Pieza"
